2025-09-11 09:31:26,788 - INFO - Loading dataset from D:/Shantanu/MBTR/PI-SGAN/DATA/Images/MobilTelesco/train...
2025-09-11 09:33:36,047 - INFO - Loading dataset from D:/Shantanu/MBTR/DATA/Images/MobilTelesco/train...
2025-09-11 09:33:36,049 - INFO - Loaded 952 images from D:/Shantanu/MBTR/DATA/Images/MobilTelesco/train
2025-09-11 09:33:36,049 - INFO - Dataset loaded with 952 images
2025-09-11 09:33:36,049 - INFO - Initializing generator and critic...
2025-09-11 09:33:36,147 - INFO - Networks and optimizers initialized
2025-09-11 09:33:36,147 - INFO - Initializing metrics...
2025-09-11 09:33:36,472 - INFO - Metrics initialized: FID, Inception
2025-09-11 09:33:36,472 - INFO - Starting training for 100 epochs...
2025-09-11 09:33:36,479 - INFO - Epoch 0/99 started
2025-09-11 09:39:15,519 - INFO - [Epoch 0/99] [Batch 60/476] [C loss: nan] [G loss: nan]
2025-09-11 09:39:15,525 - INFO - Batch 61/476, Actual batch size: 2, Image shape: torch.Size([2, 3, 1536, 2048])
2025-09-11 09:39:20,885 - INFO - Batch 62/476, Actual batch size: 2, Image shape: torch.Size([2, 3, 1536, 2048])
2025-09-11 09:39:26,240 - INFO - Batch 63/476, Actual batch size: 2, Image shape: torch.Size([2, 3, 1536, 2048])
2025-09-11 09:39:31,600 - INFO - Batch 64/476, Actual batch size: 2, Image shape: torch.Size([2, 3, 1536, 2048])
2025-09-11 09:39:36,958 - INFO - Batch 65/476, Actual batch size: 2, Image shape: torch.Size([2, 3, 1536, 2048])
2025-09-11 09:39:42,313 - INFO - Batch 66/476, Actual batch size: 2, Image shape: torch.Size([2, 3, 1536, 2048])
2025-09-11 09:39:47,674 - INFO - Batch 67/476, Actual batch size: 2, Image shape: torch.Size([2, 3, 1536, 2048])
2025-09-11 09:39:53,031 - INFO - Batch 68/476, Actual batch size: 2, Image shape: torch.Size([2, 3, 1536, 2048])
2025-09-11 09:39:58,386 - INFO - Batch 69/476, Actual batch size: 2, Image shape: torch.Size([2, 3, 1536, 2048])
2025-09-11 09:40:03,748 - INFO - Batch 70/476, Actual batch size: 2, Image shape: torch.Size([2, 3, 1536, 2048])
2025-09-11 09:40:09,093 - INFO - [Epoch 0/99] [Batch 70/476] [C loss: nan] [G loss: nan]
2025-09-11 09:40:09,100 - INFO - Batch 71/476, Actual batch size: 2, Image shape: torch.Size([2, 3, 1536, 2048])
2025-09-11 09:40:14,458 - INFO - Batch 72/476, Actual batch size: 2, Image shape: torch.Size([2, 3, 1536, 2048])
2025-09-11 09:40:19,813 - INFO - Batch 73/476, Actual batch size: 2, Image shape: torch.Size([2, 3, 1536, 2048])
2025-09-11 09:40:25,172 - INFO - Batch 74/476, Actual batch size: 2, Image shape: torch.Size([2, 3, 1536, 2048])
2025-09-11 09:40:30,528 - INFO - Batch 75/476, Actual batch size: 2, Image shape: torch.Size([2, 3, 1536, 2048])
2025-09-11 09:40:35,885 - INFO - Batch 76/476, Actual batch size: 2, Image shape: torch.Size([2, 3, 1536, 2048])
2025-09-11 09:40:41,237 - INFO - Batch 77/476, Actual batch size: 2, Image shape: torch.Size([2, 3, 1536, 2048])
2025-09-11 09:40:46,592 - INFO - Batch 78/476, Actual batch size: 2, Image shape: torch.Size([2, 3, 1536, 2048])
2025-09-11 09:40:51,951 - INFO - Batch 79/476, Actual batch size: 2, Image shape: torch.Size([2, 3, 1536, 2048])
2025-09-11 09:40:57,306 - INFO - Batch 80/476, Actual batch size: 2, Image shape: torch.Size([2, 3, 1536, 2048])
2025-09-11 09:41:02,660 - INFO - [Epoch 0/99] [Batch 80/476] [C loss: nan] [G loss: nan]
2025-09-11 09:41:02,666 - INFO - Batch 81/476, Actual batch size: 2, Image shape: torch.Size([2, 3, 1536, 2048])
2025-09-11 09:41:08,026 - INFO - Batch 82/476, Actual batch size: 2, Image shape: torch.Size([2, 3, 1536, 2048])
2025-09-11 09:41:13,382 - INFO - Batch 83/476, Actual batch size: 2, Image shape: torch.Size([2, 3, 1536, 2048])
2025-09-11 09:41:18,739 - INFO - Batch 84/476, Actual batch size: 2, Image shape: torch.Size([2, 3, 1536, 2048])
2025-09-11 09:41:24,094 - INFO - Batch 85/476, Actual batch size: 2, Image shape: torch.Size([2, 3, 1536, 2048])
2025-09-11 09:41:29,450 - INFO - Batch 86/476, Actual batch size: 2, Image shape: torch.Size([2, 3, 1536, 2048])
